Item,Value,Dim.,Type,Date
**VARIABLE**,**Epoch**,,**CDF_TIME_TT2000**,**TRUE**
CATDESC,"Epoch encoded as Terrestrial Time on rotating Earth geoid, ns (nano seconds) since J2000",,,
DISPLAY_TYPE,time_series,,,
FIELDNAM,Epoch,,,
FILLVAL,-9.22E+18,,,
FORMAT,I,,,
LABLAXIS,Epoch,,,
SCALEMAX,9.22E+18,,,
SCALEMIN,-9.22E+18,,,
SCALETYP,linear,,,
SI_CONVERSION,1.0E-9>s,,,
UNITS,ns,,,
VALIDMAX,9.22E+18,,,
VALIDMIN,-9.22E+18,,,
VAR_TYPE,Data,,,
**VARIABLE**,**vdf**,**11x9x96**,**CDF_REAL4**,**TRUE**
CATDESC,Velocity distribution function,,,
DEPEND_0,Epoch,,,
DEPEND_1,Azimuth,,,
DEPEND_2,Elevation,,,
DEPEND_3,Energy,,,
FIELDNAM,vdf,,,
FILLVAL,-1.00E+31,,,
FORMAT,E10,,,
LABLAXIS,VDF,,,
SCALETYP,linear,,,
UNITS,s^3 m^-6,,,
VALIDMAX,1,,,
VALIDMIN,0,,,
VAR_TYPE,data,,,
