Item,Value,Dim.,Type,Date
VARIABLE,SCET,,CDF_REAL8,TRUE
CATDESC,Elapsed time on the onboard clock,,,
DEPEND_0,Epoch,,,
DISPLAY_TYPE,time_series,,,
FIELDNAM,SCET,,,
FILLVAL,-1.00E+31,,,
FORMAT,f14.3,,,
LABLAXIS,SCET,,,
SCALEMAX,4294970000,,,
SCALEMIN,0,,,
UNITS,Ticks,,,
VALIDMAX,4294970000,,,
VALIDMIN,0,,,
VAR_TYPE,support_data,,,
VARIABLE,Info,,CDF_UINT1,TRUE
CATDESC,"Info - 0:Ground, 1: Normal, 2: Snapshot, 3:Burst, 4: Engineering, 5: Calibration",,,
DEPEND_0,Epoch,,,
FIELDNAM,Info,,,
FILLVAL,255,,,
FORMAT,I3,,,
LABLAXIS,Info,,,
SCALETYP,linear,,,
UNITS,unitless,,,
VALIDMAX,11,,,
VALIDMIN,7,,,
VAR_TYPE,support_data,,,
VARIABLE,start_energy,,CDF_INT2,TRUE
CATDESC,Start energy bin,,,
DEPEND_0,Epoch,,,
FIELDNAM,start_energy,,,
FILLVAL,-32768,,,
FORMAT,I5,,,
LABLAXIS,Start energy ,,,
SCALETYP,linear,,,
UNITS,unitless,,,
VALIDMAX,96,,,
VALIDMIN,0,,,
VAR_TYPE,support_data,,,
VARIABLE,nb_energy,,CDF_INT2,TRUE
CATDESC,Number of energy bins,,,
DEPEND_0,Epoch,,,
FIELDNAM,nb_energy,,,
FILLVAL,-32768,,,
FORMAT,I5,,,
LABLAXIS,Number energy,,,
SCALETYP,linear,,,
UNITS,unitless,,,
VALIDMAX,96,,,
VALIDMIN,0,,,
VAR_TYPE,support_data,,,
VARIABLE,start_elevation,,CDF_INT2,TRUE
CATDESC,Start of elevation bin,,,
DEPEND_0,Epoch,,,
FIELDNAM,start_elevation,,,
FILLVAL,-32768,,,
FORMAT,I5,,,
LABLAXIS,Start elevation,,,
SCALETYP,linear,,,
UNITS,unitless,,,
VALIDMAX,9,,,
VALIDMIN,0,,,
VAR_TYPE,support_data,,,
VARIABLE,nb_elevation,,CDF_INT2,TRUE
CATDESC,Number of elevation bins,,,
DEPEND_0,Epoch,,,
FIELDNAM,nb_elevation,,,
FILLVAL,-32768,,,
FORMAT,I5,,,
LABLAXIS,Number elevation,,,
SCALETYP,linear,,,
UNITS,unitless,,,
VALIDMAX,9,,,
VALIDMIN,0,,,
VAR_TYPE,support_data,,,
VARIABLE,start_CEM,,CDF_INT2,TRUE
CATDESC,Start CEM,,,
DEPEND_0,Epoch,,,
FIELDNAM,start_CEM,,,
FILLVAL,-32768,,,
FORMAT,I5,,,
LABLAXIS,Start CEM,,,
SCALETYP,linear,,,
UNITS,unitless,,,
VALIDMAX,1,,,
VALIDMIN,0,,,
VAR_TYPE,support_data,,,
VARIABLE,nb_CEM,,CDF_INT2,TRUE
CATDESC,Number of CEMs,,,
DEPEND_0,Epoch,,,
FIELDNAM,nb_CEM,,,
FILLVAL,-32768,,,
FORMAT,I5,,,
LABLAXIS,Number CEM,,,
SCALETYP,linear,,,
UNITS,unitless,,,
VALIDMAX,11,,,
VALIDMIN,0,,,
VAR_TYPE,support_data,,,
VARIABLE,nb_K,,CDF_INT2,TRUE
CATDESC,Number of sub-samplings per second,,,
DEPEND_0,Epoch,,,
FIELDNAM,nb_K,,,
FILLVAL,-32768,,,
FORMAT,I5,,,
LABLAXIS,Number K,,,
SCALETYP,linear,,,
UNITS,unitless,,,
VALIDMAX,8,,,
VALIDMIN,0,,,
VAR_TYPE,support_data,,,
VARIABLE,K,,CDF_INT2,TRUE
CATDESC,Current sub-sampling,,,
DEPEND_0,Epoch,,,
FIELDNAM,K,,,
FILLVAL,-32768,,,
FORMAT,I5,,,
LABLAXIS,K,,,
SCALETYP,linear,,,
UNITS,unitless,,,
VALIDMAX,8,,,
VALIDMIN,0,,,
VAR_TYPE,support_data,,,
VARIABLE,PAS_to_RTN,3x3,CDF_REAL8,TRUE
CATDESC,PAS to RTN transformation matrix,,,
COORDINATE_SYSTEM,SOLO_SWA_PAS,,,
TARGET_SYSTEM,SOLO_SUN_RTN,,,
DEPEND_0,Epoch,,,
FIELDNAM,PAS_to_RTN,,,
FILLVAL,-1.00E+31,,,
FORMAT,E10,,,
LABLAXIS,PAS to RTN,,,
SCALETYP,linear,,,
UNITS,None,,,
VAR_TYPE,support_data,,,
VARIABLE,Energy,96,CDF_REAL4,FALSE
CATDESC,Center of energy bins,,,
DELTA_PLUS_VAR,delta_p_Energy,,,
DELTA_MINUS_VAR,delta_m_Energy,,,
FIELDNAM,Energy,,,
FILLVAL,-1.00E+31,,,
FORMAT,E12.2,,,
LABLAXIS,Energy,,,
SCALETYP,linear,,,
UNITS,eV,,,
VALIDMAX,40000,,,
VALIDMIN,0,,,
VAR_TYPE,support_data,,,
VARIABLE,delta_p_Energy,96,CDF_REAL4,FALSE
CATDESC,Delta plus energy bins,,,
FIELDNAM,delta_p_Energy,,,
FILLVAL,-1.00E+31,,,
FORMAT,E12.2,,,
LABLAXIS,Delta plus energy,,,
SCALETYP,linear,,,
UNITS,eV,,,
VALIDMAX,40000,,,
VALIDMIN,0,,,
VAR_TYPE,support_data,,,
